iter	RMSE
0	76918.17253
1	74895.87792
2	72917.59846
3	71181.53834
4	69467.83505
5	67848.36695
6	66036.84687
7	64429.72998
8	62957.54311
9	61581.12
10	60180.64738
11	58694.01492
12	57410.25376
13	56248.35751
14	55061.90024
15	53979.85937
16	52867.29786
17	51834.88255
18	50882.56633
19	49984.2324
20	48990.2051
21	48001.57069
22	47169.57133
23	46362.98384
24	45566.13804
25	44759.10626
26	43941.58653
27	43205.88567
28	42517.39508
29	41774.0208
30	41085.31501
31	40434.79765
32	39839.05754
33	39298.97338
34	38655.76201
35	38091.00168
36	37556.72762
37	37008.51036
38	36425.75875
39	35939.34462
40	35510.05286
41	34990.98187
42	34504.6713
43	34072.19218
44	33696.07984
45	33330.09742
46	32947.41186
47	32554.75981
48	32159.661
49	31816.06727
50	31484.25954
51	31085.02919
52	30781.6201
53	30486.69747
54	30183.16728
55	29881.595
56	29598.88388
57	29330.24007
58	29057.5614
59	28782.73601
60	28589.38316
61	28352.43075
62	28157.14488
63	27917.83556
64	27674.16244
65	27433.87091
66	27230.63934
67	27011.02244
68	26786.34343
69	26599.11171
70	26403.56932
71	26170.81669
72	25992.72979
73	25830.91698
74	25643.79958
75	25483.37515
76	25335.83611
77	25181.28717
78	25032.64068
79	24919.50451
80	24752.51009
81	24620.32029
82	24505.07179
83	24361.33269
84	24263.75261
85	24122.37104
86	24024.50463
87	23872.5945
88	23750.43697
89	23638.52434
90	23520.61397
91	23405.87242
92	23300.56744
93	23200.40771
94	23098.89583
95	23018.06724
96	22898.27502
97	22770.11465
98	22684.83197
99	22611.81615
100	22527.24366
101	22423.9498
102	22362.32828
103	22255.28864
104	22173.63358
105	22082.95356
106	22002.68338
107	21937.72174
108	21850.22994
109	21793.78897
110	21764.64203
111	21672.92454
112	21609.7416
113	21536.20032
114	21487.42684
115	21426.27485
116	21384.77793
117	21343.86536
118	21243.82731
119	21183.05581
120	21128.10306
121	21060.01717
122	21008.06669
123	20960.12241
124	20902.16818
125	20841.52649
126	20786.21091
127	20717.37157
128	20687.22516
129	20634.35259
130	20566.72799
131	20509.97347
132	20431.22915
133	20372.97508
134	20311.39368
135	20267.59582
136	20213.83934
137	20137.8563
138	20056.79483
139	19977.2042
140	19922.33831
141	19863.61775
142	19793.80774
143	19752.33654
144	19710.17646
145	19678.19626
146	19654.3155
147	19583.05534
148	19538.40782
149	19465.70844
150	19401.07545
151	19358.13515
152	19319.37343
153	19297.85386
154	19254.77795
155	19242.30689
156	19194.93808
157	19163.70341
158	19118.81073
159	19084.75941
160	19032.68215
161	19000.80739
162	18966.04558
163	18905.2614
164	18856.0919
165	18819.24447
166	18789.11408
167	18754.37612
168	18704.88863
169	18666.63553
170	18625.3931
171	18596.7597
172	18549.75942
173	18538.12911
174	18495.04274
175	18445.15053
176	18429.39606
177	18381.43911
178	18307.05768
179	18274.22022
180	18247.12603
181	18178.45051
182	18155.39584
183	18106.79733
184	18090.74474
185	18055.235
186	18023.9994
187	17997.82197
188	17984.07967
189	17973.38434
190	17960.4189
191	17945.51388
192	17928.28355
193	17895.07749
194	17853.97449
195	17836.71458
196	17788.90111
197	17767.26197
198	17750.53752
199	17689.80374
200	17670.73031
201	17660.61735
202	17601.84751
203	17592.80775
204	17551.99852
205	17529.7886
206	17491.33309
207	17446.2008
208	17409.95402
209	17384.10352
210	17332.57323
211	17314.03528
212	17274.76057
213	17260.16884
214	17249.16504
215	17210.80269
216	17201.08294
217	17132.06035
218	17076.43415
219	17024.99459
220	17007.1796
221	16995.53348
222	16956.92182
223	16937.06477
224	16919.26638
225	16908.95759
226	16872.50811
227	16857.31455
228	16821.61579
229	16790.89659
230	16756.15271
231	16690.89002
232	16664.45881
233	16653.5628
234	16610.40285
235	16593.47789
236	16548.93234
237	16525.3967
238	16471.36695
239	16438.1538
240	16428.7203
241	16390.34649
242	16359.5191
243	16317.56758
244	16272.90928
245	16247.69939
246	16239.84362
247	16231.54496
248	16211.23088
249	16190.39875
250	16170.55088
251	16163.9113
252	16128.183
253	16087.63223
254	16052.41074
255	16021.11301
256	16015.64113
257	15986.09075
258	15979.50495
259	15928.46564
260	15884.84084
261	15845.08426
262	15802.05361
263	15797.14377
264	15751.63268
265	15712.19044
266	15706.60993
267	15683.07213
268	15629.85335
269	15579.27148
270	15542.18969
271	15520.42841
272	15492.2616
273	15487.15944
274	15482.20183
275	15445.81329
276	15404.30986
277	15377.63319
278	15347.4059
279	15306.3507
280	15274.85541
281	15270.04966
282	15234.92168
283	15230.84456
284	15226.85969
285	15203.52787
286	15181.24933
287	15144.14361
288	15140.07832
289	15114.91436
290	15090.42549
291	15064.31716
292	15041.93792
293	15015.1566
294	14988.77454
295	14956.87464
296	14939.27062
297	14914.20936
298	14868.73427
299	14848.29661
300	14843.95712
301	14817.68361
302	14775.05833
303	14767.79279
304	14743.91349
305	14724.72504
306	14693.87247
307	14664.24935
308	14654.39183
309	14617.30177
310	14585.60472
311	14551.14849
312	14535.76291
313	14510.6833
314	14499.77255
315	14460.38512
316	14425.97887
317	14404.57035
318	14365.66765
319	14348.97568
320	14328.09032
321	14306.90662
322	14270.42921
323	14255.6852
324	14213.98978
325	14191.99122
326	14171.6705
327	14149.87443
328	14117.94134
329	14103.85683
330	14100.99583
331	14084.21249
332	14063.8744
333	14051.40282
334	14037.73751
335	14017.35337
336	13984.64899
337	13980.80664
338	13960.99784
339	13938.28146
340	13892.43716
341	13854.5192
342	13815.45994
343	13811.70731
344	13800.42279
345	13782.25773
346	13763.5832
347	13760.6612
348	13734.76713
349	13717.89496
350	13698.23947
351	13659.27432
352	13644.92696
353	13626.65746
354	13601.43683
355	13570.28824
356	13540.62379
357	13509.63895
358	13473.53707
359	13470.42294
360	13459.96135
361	13428.1413
362	13393.79299
363	13383.70454
364	13361.01117
365	13329.74116
366	13296.29902
367	13279.84122
368	13261.27987
369	13241.30894
370	13229.99618
371	13213.23044
372	13195.61664
373	13189.96373
374	13158.09898
375	13133.82093
376	13130.40532
377	13102.38024
378	13082.05804
379	13056.50133
380	13032.33041
381	12997.2231
382	12972.04261
383	12961.70997
384	12930.26763
385	12907.39096
386	12888.70667
387	12863.05191
388	12831.06958
389	12827.8951
390	12796.39378
391	12774.05203
392	12763.67635
393	12745.00754
394	12714.08577
395	12711.4501
396	12704.75711
397	12700.71371
398	12679.99216
399	12655.04013
400	12641.05769
401	12619.20284
402	12602.71355
403	12579.78676
404	12564.40834
405	12524.94388
406	12489.45129
407	12484.15722
408	12480.82294
409	12467.61091
410	12464.91497
411	12437.3303
412	12430.14644
413	12410.80771
414	12399.18623
415	12376.84094
416	12352.32738
417	12338.06506
418	12312.81875
419	12288.60057
420	12280.11923
421	12264.66543
422	12243.14067
423	12210.38415
424	12192.4844
425	12179.86574
426	12163.11334
427	12131.74978
428	12114.94416
429	12103.47904
430	12100.96143
431	12081.59591
432	12060.99919
433	12036.12923
434	12021.46559
435	12015.91919
436	11998.18772
437	11981.88263
438	11960.81098
439	11948.06253
440	11930.36275
441	11907.57286
442	11895.10857
443	11873.72747
444	11854.20135
445	11842.92703
446	11828.35825
447	11812.20568
448	11779.15505
449	11753.32853
450	11730.13304
451	11707.29053
452	11697.86414
453	11692.68188
454	11689.8178
455	11686.96788
456	11652.94449
457	11639.15139
458	11625.40462
459	11601.72981
460	11587.23194
461	11584.7921
462	11572.23764
463	11560.30444
464	11550.41991
465	11545.58001
466	11530.69907
467	11511.52379
468	11480.56261
469	11466.58742
470	11460.01787
471	11439.63642
472	11426.01853
473	11417.88464
474	11400.0102
475	11377.70466
476	11359.45995
477	11341.05389
478	11329.20986
479	11324.69692
480	11296.50263
481	11282.25708
482	11264.25021
483	11242.20478
484	11223.59288
485	11215.1729
486	11192.60413
487	11176.30627
488	11161.29551
489	11148.3351
490	11139.49315
491	11123.34334
492	11107.61835
493	11085.05661
494	11065.64811
495	11046.69383
496	11040.18869
497	11030.80703
498	11024.10687
499	11001.71225
500	10985.07337
501	10968.80297
502	10947.36833
503	10934.44646
504	10928.86919
505	10903.30064
506	10899.06921
507	10896.90205
508	10894.98292
509	10885.91882
510	10872.01241
511	10857.33869
512	10843.01314
513	10823.86082
514	10807.39255
515	10787.75934
516	10783.51117
517	10766.16869
518	10745.21534
519	10743.49873
520	10741.60261
521	10725.73155
522	10717.89499
523	10707.35157
524	10699.36391
525	10681.96937
526	10660.48438
527	10639.08241
528	10622.22862
529	10611.79751
530	10608.10204
531	10593.10587
532	10584.82115
533	10583.04021
534	10570.44261
535	10556.08747
536	10554.75665
537	10541.58019
538	10540.10935
539	10516.08705
540	10498.09121
541	10482.65749
542	10470.47708
543	10455.27174
544	10441.56638
545	10427.92563
546	10415.31624
547	10391.90248
548	10370.95647
549	10344.88079
550	10329.25528
551	10327.78017
552	10316.3451
553	10306.21997
554	10278.93088
555	10264.38592
556	10254.67314
557	10243.40188
558	10233.45405
559	10222.54197
560	10216.49963
561	10199.23946
562	10177.71601
563	10172.0832
564	10161.97784
565	10148.00322
566	10130.85599
567	10113.89738
568	10106.61316
569	10091.41961
570	10069.87155
571	10061.04258
572	10035.60907
573	10025.17513
574	10023.62489
575	10014.99507
576	10001.51322
577	9994.659593
578	9978.123434
579	9963.443292
580	9947.861846
581	9946.232833
582	9930.816624
583	9918.269129
584	9902.580485
585	9889.697053
586	9875.526985
587	9867.942238
588	9858.946725
589	9846.39709
590	9839.749815
591	9838.301624
592	9828.147593
593	9823.395189
594	9822.254346
595	9814.927036
596	9797.670362
597	9780.668106
598	9761.766461
599	9747.135744
600	9739.608735
601	9726.86584
602	9704.676972
603	9688.111149
604	9668.594389
605	9648.849193
606	9647.241246
607	9631.317344
608	9616.796302
609	9602.387669
610	9588.799813
611	9587.768395
612	9571.260403
613	9561.384064
614	9550.795967
615	9549.784283
616	9533.177623
617	9508.170249
618	9490.485635
619	9475.208552
620	9461.238454
621	9450.558578
622	9444.990223
623	9433.83143
624	9432.250049
625	9422.52981
626	9409.144291
627	9395.904374
628	9378.662674
629	9366.239361
630	9355.069966
631	9337.556989
632	9319.503345
633	9302.587101
634	9291.622296
635	9266.897367
636	9251.514071
637	9241.642539
638	9219.625402
639	9211.291782
640	9209.956855
641	9195.80894
642	9194.470397
643	9178.225755
644	9159.712675
645	9154.320427
646	9142.711435
647	9127.407529
648	9105.669873
649	9096.320599
650	9083.592854
651	9072.932285
652	9065.459817
653	9054.990888
654	9031.219395
655	9018.478919
656	9000.685716
657	8994.004571
658	8977.528827
659	8957.477398
660	8944.667005
661	8931.276239
662	8917.585143
663	8911.19177
664	8899.726813
665	8891.324246
666	8881.898504
