iter	Passed	Remaining
0	150	150248
1	157	78425
2	181	60463
3	195	48609
4	201	40134
5	208	34564
6	215	30573
7	221	27514
8	228	25116
9	235	23288
10	242	21782
11	248	20489
12	255	19381
13	261	18441
14	268	17607
15	274	16881
16	280	16247
17	287	15684
18	293	15178
19	300	14710
20	307	14325
21	313	13944
22	320	13609
23	326	13275
24	333	12991
25	340	12768
26	347	12531
27	354	12291
28	359	12049
29	366	11839
30	371	11625
31	377	11426
32	383	11245
33	389	11074
34	396	10923
35	408	10926
36	420	10943
37	426	10807
38	433	10684
39	439	10550
40	447	10478
41	455	10378
42	462	10283
43	468	10188
44	475	10095
45	482	10007
46	489	9917
47	496	9837
48	503	9763
49	510	9698
50	517	9623
51	524	9555
52	531	9492
53	537	9422
54	545	9366
55	552	9315
56	559	9253
57	565	9191
58	573	9142
59	580	9086
60	586	9028
61	593	8984
62	600	8928
63	606	8874
64	613	8824
65	621	8790
66	628	8745
67	634	8700
68	651	8790
69	663	8809
70	670	8776
71	677	8732
72	684	8695
73	691	8654
74	698	8614
75	706	8583
76	712	8542
77	719	8505
78	726	8464
79	732	8427
80	739	8390
81	745	8349
82	753	8324
83	759	8285
84	767	8260
85	774	8231
86	781	8205
87	788	8171
88	796	8147
89	818	8273
90	826	8257
91	833	8230
92	841	8203
93	848	8178
94	855	8147
95	876	8252
96	895	8332
97	902	8309
98	910	8290
99	918	8267
100	925	8239
101	933	8221
102	942	8205
103	949	8184
104	957	8161
105	971	8195
106	979	8178
107	988	8162
108	998	8160
109	1006	8144
110	1015	8135
111	1027	8144
112	1037	8141
113	1045	8126
114	1054	8115
115	1063	8101
116	1072	8092
117	1081	8081
118	1090	8074
119	1099	8060
120	1107	8048
121	1117	8040
122	1128	8042
123	1136	8028
124	1144	8009
125	1152	7992
126	1159	7972
127	1168	7958
128	1176	7941
129	1185	7931
130	1194	7922
131	1201	7903
132	1209	7885
133	1229	7948
134	1237	7931
135	1246	7917
136	1253	7895
137	1262	7883
138	1269	7864
139	1277	7846
140	1284	7826
141	1293	7814
142	1300	7794
143	1308	7780
144	1316	7760
145	1324	7747
146	1331	7726
147	1338	7706
148	1345	7686
149	1353	7669
150	1360	7650
151	1367	7628
152	1374	7609
153	1381	7587
154	1388	7570
155	1395	7551
156	1403	7534
157	1411	7523
158	1418	7505
159	1425	7484
160	1431	7461
161	1438	7443
162	1444	7419
163	1451	7397
164	1457	7377
165	1464	7356
166	1470	7336
167	1477	7315
168	1483	7296
169	1489	7273
170	1495	7252
171	1502	7233
172	1509	7214
173	1516	7196
174	1522	7176
175	1529	7159
176	1535	7140
177	1542	7121
178	1548	7104
179	1556	7090
180	1564	7078
181	1572	7065
182	1580	7055
183	1587	7039
184	1620	7139
185	1646	7206
186	1658	7209
187	1668	7205
188	1676	7194
189	1682	7174
190	1691	7166
191	1702	7164
192	1726	7217
193	1734	7207
194	1742	7195
195	1750	7179
196	1758	7168
197	1766	7154
198	1774	7140
199	1781	7126
200	1800	7157
201	1808	7146
202	1817	7133
203	1824	7118
204	1833	7108
205	1840	7094
206	1848	7083
207	1856	7069
208	1864	7057
209	1872	7044
210	1881	7034
211	1890	7025
212	1898	7015
213	1907	7004
214	1914	6991
215	1922	6979
216	1930	6965
217	1940	6961
218	1948	6950
219	1957	6941
220	1966	6931
221	1974	6918
222	1983	6909
223	1992	6901
224	1999	6887
225	2007	6876
226	2024	6892
227	2034	6888
228	2042	6875
229	2049	6861
230	2057	6848
231	2064	6833
232	2071	6819
233	2078	6805
234	2086	6791
235	2093	6776
236	2101	6765
237	2108	6751
238	2116	6738
239	2123	6724
240	2130	6711
241	2138	6697
242	2146	6687
243	2154	6674
244	2161	6659
245	2169	6648
246	2176	6634
247	2182	6619
248	2190	6606
249	2199	6597
250	2206	6585
251	2215	6574
252	2222	6561
253	2231	6554
254	2240	6544
255	2248	6535
256	2257	6527
257	2267	6521
258	2275	6509
259	2283	6498
260	2291	6489
261	2299	6476
262	2307	6466
263	2314	6453
264	2321	6440
265	2329	6427
266	2337	6415
267	2344	6403
268	2351	6390
269	2359	6378
270	2368	6372
271	2376	6360
272	2383	6347
273	2390	6333
274	2398	6322
275	2415	6335
276	2425	6331
277	2433	6320
278	2440	6307
279	2447	6293
280	2454	6281
281	2461	6267
282	2468	6253
283	2474	6239
284	2481	6226
285	2488	6213
286	2495	6199
287	2502	6187
288	2509	6173
289	2516	6159
290	2522	6146
291	2530	6135
292	2537	6123
293	2544	6110
294	2551	6098
295	2558	6086
296	2565	6072
297	2572	6059
298	2579	6046
299	2585	6033
300	2595	6026
301	2602	6014
302	2609	6002
303	2616	5991
304	2624	5979
305	2631	5967
306	2638	5955
307	2645	5944
308	2652	5931
309	2659	5919
310	2666	5907
311	2674	5896
312	2681	5886
313	2688	5874
314	2696	5864
315	2703	5852
316	2711	5841
317	2718	5831
318	2726	5819
319	2732	5806
320	2740	5796
321	2747	5784
322	2753	5772
323	2760	5760
324	2767	5748
325	2775	5738
326	2782	5726
327	2798	5732
328	2807	5726
329	2814	5714
330	2821	5702
331	2828	5690
332	2835	5679
333	2844	5671
334	2852	5662
335	2860	5652
336	2868	5643
337	2875	5632
338	2883	5623
339	2892	5614
340	2899	5603
341	2909	5598
342	2917	5588
343	2925	5579
344	2934	5571
345	2942	5560
346	2953	5558
347	2962	5551
348	2970	5540
349	2979	5532
350	2986	5522
351	2993	5511
352	3001	5500
353	3008	5489
354	3015	5478
355	3022	5466
356	3029	5456
357	3036	5445
358	3044	5435
359	3051	5424
360	3058	5413
361	3065	5403
362	3073	5393
363	3080	5383
364	3088	5372
365	3095	5362
366	3103	5352
367	3110	5342
368	3118	5332
369	3125	5322
370	3133	5313
371	3142	5305
372	3149	5294
373	3157	5284
374	3164	5273
375	3177	5272
376	3198	5284
377	3206	5276
378	3213	5265
379	3222	5257
380	3230	5248
381	3238	5238
382	3245	5227
383	3252	5218
384	3259	5206
385	3266	5195
386	3272	5184
387	3279	5172
388	3286	5161
389	3292	5149
390	3299	5138
391	3306	5128
392	3312	5116
393	3320	5107
394	3327	5096
395	3335	5087
396	3342	5077
397	3350	5068
398	3358	5058
399	3366	5049
400	3372	5038
401	3380	5028
402	3387	5018
403	3395	5009
404	3403	4999
405	3410	4990
406	3417	4979
407	3425	4969
408	3432	4960
409	3440	4950
410	3447	4940
411	3455	4930
412	3462	4920
413	3469	4911
414	3477	4901
415	3484	4891
416	3490	4880
417	3498	4871
418	3507	4863
419	3515	4854
420	3524	4847
421	3532	4837
422	3539	4828
423	3546	4818
424	3553	4807
425	3562	4799
426	3568	4788
427	3579	4784
428	3593	4782
429	3602	4774
430	3608	4763
431	3614	4752
432	3622	4743
433	3628	4732
434	3635	4722
435	3642	4711
436	3649	4701
437	3655	4690
438	3662	4679
439	3669	4670
440	3676	4660
441	3684	4651
442	3692	4642
443	3701	4635
444	3709	4626
445	3718	4619
446	3726	4610
447	3734	4601
448	3742	4592
449	3750	4583
450	3757	4574
451	3765	4565
452	3773	4556
453	3780	4547
454	3788	4537
455	3796	4529
456	3804	4520
457	3813	4512
458	3820	4502
459	3827	4493
460	3834	4483
461	3841	4473
462	3849	4464
463	3856	4454
464	3864	4445
465	3872	4437
466	3879	4427
467	3886	4417
468	3893	4408
469	3899	4397
470	3905	4386
471	3913	4377
472	3920	4368
473	3927	4358
474	3933	4347
475	3940	4337
476	3947	4327
477	3953	4317
478	3959	4307
479	3966	4296
480	3975	4289
481	3993	4292
482	4002	4284
483	4009	4274
484	4015	4264
485	4023	4254
486	4030	4245
487	4037	4235
488	4044	4226
489	4052	4217
490	4058	4207
491	4065	4198
492	4072	4188
493	4078	4177
494	4085	4167
495	4091	4157
496	4098	4147
497	4104	4137
498	4111	4127
499	4118	4118
500	4124	4108
501	4130	4097
502	4136	4087
503	4142	4076
504	4148	4066
505	4155	4056
506	4161	4046
507	4167	4036
508	4173	4025
509	4179	4015
510	4185	4005
511	4192	3995
512	4198	3985
513	4204	3975
514	4211	3965
515	4217	3955
516	4223	3945
517	4229	3935
518	4235	3925
519	4241	3915
520	4247	3904
521	4253	3895
522	4260	3885
523	4266	3875
524	4271	3864
525	4277	3854
526	4283	3844
527	4289	3834
528	4295	3824
529	4301	3814
530	4307	3804
531	4314	3795
532	4322	3787
533	4328	3777
534	4334	3767
535	4340	3757
536	4347	3748
537	4353	3738
538	4360	3729
539	4377	3728
540	4387	3722
541	4393	3712
542	4399	3703
543	4406	3693
544	4413	3684
545	4420	3675
546	4427	3666
547	4433	3656
548	4440	3647
549	4447	3638
550	4453	3629
551	4459	3619
552	4466	3610
553	4482	3608
554	4489	3599
555	4515	3606
556	4523	3597
557	4531	3589
558	4539	3581
559	4546	3572
560	4553	3563
561	4560	3554
562	4567	3545
563	4573	3535
564	4580	3526
565	4588	3518
566	4595	3509
567	4602	3500
568	4609	3491
569	4615	3482
570	4621	3472
571	4628	3463
572	4635	3454
573	4642	3445
574	4648	3436
575	4656	3427
576	4663	3418
577	4669	3409
578	4677	3401
579	4683	3391
580	4690	3382
581	4697	3373
582	4704	3364
583	4710	3355
584	4716	3346
585	4722	3336
586	4729	3327
587	4735	3318
588	4742	3309
589	4748	3299
590	4754	3290
591	4762	3282
592	4778	3279
593	4787	3272
594	4794	3263
595	4801	3254
596	4809	3246
597	4815	3237
598	4822	3228
599	4829	3219
600	4838	3212
601	4846	3203
602	4853	3195
603	4860	3186
604	4867	3178
605	4874	3169
606	4883	3162
607	4891	3153
608	4898	3145
609	4905	3136
610	4912	3127
611	4919	3119
612	4927	3110
613	4934	3102
614	4941	3093
615	4947	3084
616	4954	3075
617	4960	3066
618	4967	3057
619	4973	3048
620	4980	3039
621	4986	3030
622	4992	3021
623	4999	3012
624	5007	3004
625	5014	2995
626	5020	2986
627	5027	2978
628	5033	2968
629	5039	2959
630	5046	2951
631	5053	2942
632	5059	2933
633	5066	2924
634	5073	2916
635	5079	2907
636	5085	2898
637	5092	2889
638	5099	2880
639	5105	2872
640	5112	2863
641	5119	2854
642	5126	2846
643	5132	2837
644	5139	2828
645	5145	2819
646	5151	2810
647	5158	2802
648	5175	2798
649	5185	2792
650	5192	2783
651	5199	2775
652	5207	2767
653	5214	2758
654	5222	2750
655	5229	2742
656	5236	2733
657	5243	2725
658	5250	2716
659	5257	2708
660	5264	2699
661	5272	2691
662	5278	2683
663	5285	2674
664	5291	2665
665	5299	2657
666	5306	2649
667	5313	2640
668	5321	2632
669	5328	2624
670	5334	2615
671	5341	2607
672	5351	2600
673	5360	2592
674	5388	2594
675	5400	2588
676	5407	2579
677	5414	2571
678	5420	2562
679	5427	2554
680	5434	2545
681	5440	2536
682	5447	2528
683	5453	2519
684	5460	2510
685	5466	2502
686	5473	2493
687	5480	2485
688	5486	2476
689	5493	2468
690	5499	2459
691	5508	2451
692	5514	2442
693	5521	2434
694	5527	2425
695	5534	2417
696	5540	2408
697	5547	2400
698	5553	2391
699	5561	2383
700	5575	2378
701	5584	2370
702	5591	2362
703	5597	2353
704	5604	2345
705	5610	2336
706	5617	2327
707	5623	2319
708	5630	2310
709	5637	2302
710	5643	2293
711	5649	2285
712	5656	2277
713	5664	2268
714	5671	2260
715	5678	2252
716	5685	2244
717	5692	2235
718	5700	2227
719	5708	2219
720	5715	2211
721	5722	2203
722	5730	2195
723	5738	2187
724	5745	2179
725	5752	2171
726	5759	2162
727	5767	2154
728	5774	2146
729	5781	2138
730	5788	2130
731	5795	2122
732	5805	2114
733	5811	2106
734	5817	2097
735	5824	2089
736	5831	2081
737	5837	2072
738	5844	2064
739	5851	2055
740	5858	2047
741	5865	2039
742	5872	2031
743	5878	2022
744	5884	2014
745	5891	2005
746	5897	1997
747	5903	1989
748	5910	1980
749	5916	1972
750	5923	1964
751	5930	1955
752	5936	1947
753	5943	1939
754	5949	1930
755	5964	1925
756	5977	1918
757	5985	1910
758	5991	1902
759	5997	1893
760	6004	1885
761	6011	1877
762	6017	1869
763	6023	1860
764	6030	1852
765	6037	1844
766	6043	1835
767	6050	1827
768	6056	1819
769	6062	1810
770	6068	1802
771	6076	1794
772	6083	1786
773	6090	1778
774	6096	1769
775	6103	1761
776	6110	1753
777	6116	1745
778	6123	1737
779	6129	1728
780	6136	1720
781	6143	1712
782	6151	1704
783	6158	1696
784	6165	1688
785	6172	1680
786	6179	1672
787	6186	1664
788	6193	1656
789	6200	1648
790	6206	1639
791	6213	1631
792	6220	1623
793	6228	1615
794	6235	1607
795	6241	1599
796	6248	1591
797	6255	1583
798	6262	1575
799	6270	1567
800	6278	1559
801	6285	1551
802	6291	1543
803	6297	1535
804	6303	1527
805	6310	1518
806	6316	1510
807	6323	1502
808	6329	1494
809	6336	1486
810	6343	1478
811	6350	1470
812	6368	1464
813	6376	1457
814	6382	1448
815	6389	1440
816	6396	1432
817	6403	1424
818	6409	1416
819	6416	1408
820	6423	1400
821	6429	1392
822	6435	1384
823	6441	1375
824	6448	1367
825	6454	1359
826	6460	1351
827	6467	1343
828	6474	1335
829	6481	1327
830	6488	1319
831	6494	1311
832	6501	1303
833	6508	1295
834	6515	1287
835	6522	1279
836	6528	1271
837	6534	1263
838	6540	1255
839	6547	1247
840	6554	1239
841	6560	1231
842	6566	1223
843	6573	1214
844	6580	1207
845	6587	1199
846	6593	1191
847	6599	1182
848	6605	1174
849	6611	1166
850	6617	1158
851	6622	1150
852	6629	1142
853	6635	1134
854	6641	1126
855	6648	1118
856	6654	1110
857	6660	1102
858	6667	1094
859	6672	1086
860	6679	1078
861	6685	1070
862	6692	1062
863	6728	1059
864	6747	1053
865	6766	1047
866	6785	1040
867	6800	1034
868	6808	1026
869	6818	1018
870	6828	1011
871	6836	1003
872	6845	995
873	6855	988
874	6862	980
875	6870	972
876	6877	964
877	6885	956
878	6894	949
879	6901	941
880	6909	933
881	6916	925
882	6924	917
883	6932	909
884	6940	901
885	6946	893
886	6954	885
887	6962	878
888	6970	870
889	6978	862
890	6986	854
891	6993	846
892	7000	838
893	7008	830
894	7015	823
895	7022	815
896	7030	807
897	7037	799
898	7044	791
899	7052	783
900	7060	775
901	7067	767
902	7074	759
903	7082	752
904	7089	744
905	7096	736
906	7103	728
907	7111	720
908	7118	712
909	7125	704
910	7132	696
911	7139	688
912	7154	681
913	7168	674
914	7177	666
915	7185	658
916	7192	651
917	7199	643
918	7206	635
919	7212	627
920	7219	619
921	7226	611
922	7234	603
923	7240	595
924	7247	587
925	7254	579
926	7262	571
927	7269	564
928	7277	556
929	7284	548
930	7293	540
931	7300	532
932	7308	524
933	7316	517
934	7324	509
935	7331	501
936	7340	493
937	7350	485
938	7360	478
939	7370	470
940	7379	462
941	7388	454
942	7398	447
943	7408	439
944	7417	431
945	7425	423
946	7434	416
947	7444	408
948	7453	400
949	7461	392
950	7471	384
951	7481	377
952	7490	369
953	7499	361
954	7508	353
955	7518	346
956	7529	338
957	7537	330
958	7557	323
959	7573	315
960	7582	307
961	7591	299
962	7600	292
963	7610	284
964	7620	276
965	7628	268
966	7636	260
967	7644	252
968	7652	244
969	7661	236
970	7669	229
971	7677	221
972	7686	213
973	7697	205
974	7705	197
975	7714	189
976	7722	181
977	7732	173
978	7741	166
979	7748	158
980	7757	150
981	7765	142
982	7772	134
983	7780	126
984	7791	118
985	7798	110
986	7805	102
987	7812	94
988	7819	86
989	7825	79
990	7832	71
991	7839	63
992	7845	55
993	7852	47
994	7859	39
995	7866	31
996	7873	23
997	7880	15
998	7887	7
999	7893	0
